Review,Liked,Processed_Review
Service was excellent and prices are pretty reasonable considering this is Vegas and located inside the Crystals shopping mall by Aria.,1,servic excel price pretti reason consid vega locat insid crystal shop mall aria
"To summarize... the food was incredible, nay, transcendant... but nothing brings me joy quite like the memory of the pneumatic condiment dispenser.",1,summar food incred nay transcend noth bring joy quit like memori pneumat condiment dispens
I'm probably one of the few people to ever go to Ians and not like it.,0,probabl one peopl ever go ian not like
Kids pizza is always a hit too with lots of great side dish options for the kiddos!,1,kid pizza alway hit lot great side dish option kiddo
Service is perfect and the family atmosphere is nice to see.,1,servic perfect famili atmospher nice see
Cooked to perfection and the service was impeccable.,1,cook perfect servic impecc
This one is simply a disappointment.,0,one simpli disappoint
"Overall, I was very disappointed with the quality of food at Bouchon.",0,overal disappoint qualiti food bouchon
I don't have to be an accountant to know I'm getting screwed!,0,account know get screw
"Great place to eat, reminds me of the little mom and pop shops in the San Francisco Bay Area.",1,great place eat remind littl mom pop shop san francisco bay area
Today was my first taste of a Buldogis Gourmet Hot Dog and I have to tell you it was more than I ever thought possible.,1,today first tast buldogi gourmet hot dog tell ever thought possibl
Left very frustrated.,0,left frustrat
I'll definitely be in soon again.,1,definit soon
Food was really good and I got full petty fast.,1,food realli good got full petti fast
Service was fantastic.,1,servic fantast
TOTAL WASTE OF TIME.,0,total wast time
I don't know what kind it is but they have the best iced tea.,1,know kind best ice tea
"Come hungry, leave happy and stuffed!",1,come hungri leav happi stuf
"For service, I give them no stars.",0,servic give star
I can assure you that you won't be disappointed.,1,assur disappoint
I can take a little bad service but the food sucks.,0,take littl bad servic food suck
Gave up trying to eat any of the crust (teeth still sore).,0,gave tri eat crust teeth still sore
But now I was completely grossed out.,0,complet gross
I really enjoyed eating here.,1,realli enjoy eat
First time going but I think I will quickly become a regular.,1,first time go think quickli becom regular
"Our server was very nice, and even though he looked a little overwhelmed with all of our needs, he stayed professional and friendly until the end.",1,server nice even though look littl overwhelm need stay profession friendli end
From what my dinner companions told me...everything was very fresh with nice texture and taste.,1,dinner companion told everyth fresh nice textur tast
"On the ground, right next to our table was a large, smeared, been-stepped-in-and-tracked-everywhere pile of green bird poop.",0,ground right next tabl larg smear step track everywher pile green bird poop
"Furthermore, you can't even find hours of operation on the website!",0,furthermor even find hour oper websit
We've tried to like this place but after 10+ times I think we're done with them.,0,tri like place time think done
What a mistake that was!,0,mistak
No complaints!,1,complaint
This is some seriously good pizza and I'm an expert/connisseur on the topic.,1,serious good pizza expert connisseur topic
Waiter was a jerk.,0,waiter jerk
"Strike 2, who wants to be rushed.",0,strike want rush
These are the nicest restaurant owners I've ever come across.,1,nicest restaur owner ever come across
I never come again.,0,never come
We loved the biscuits!!!,1,love biscuit
Service is quick and friendly.,1,servic quick friendli
Ordered an appetizer and took 40 minutes and then the pizza another 10 minutes.,0,order appet took minut pizza anoth minut
So absolutley fantastic.,1,absolutley fantast
It was a huge awkward 1.5lb piece of cow that was 3/4ths gristle and fat.,0,huge awkward lb piec cow th gristl fat
definitely will come back here again.,1,definit come back
I like Steiners because it's dark and it feels like a bar.,1,like steiner dark feel like bar
Wow very spicy but delicious.,1,wow spici delici
"If you're not familiar, check it out.",1,not familiar check
I'll take my business dinner dollars elsewhere.,0,take busi dinner dollar elsewher
I'd love to go back.,1,love go back
"Anyway, this FS restaurant has a wonderful breakfast/lunch.",1,anyway fs restaur wonder breakfast lunch
Nothing special.,0,noth special
Each day of the week they have a different deal and it's all so delicious!,1,day week differ deal delici
"Not to mention the combination of pears, almonds and bacon is a big winner!",1,not mention combin pear almond bacon big winner
Will not be back.,0,not back
Sauce was tasteless.,0,sauc tasteless
"The food is delicious and just spicy enough, so be sure to ask for spicier if you prefer it that way.",1,food delici spici enough sure ask spicier prefer way
My ribeye steak was cooked perfectly and had great mesquite flavor.,1,ribey steak cook perfectli great mesquit flavor
I don't think we'll be going back anytime soon.,0,think go back anytim soon
Food was so gooodd.,1,food gooodd
I am far from a sushi connoisseur but I can definitely tell the difference between good food and bad food and this was certainly bad food.,0,far sushi connoisseur definit tell differ good food bad food certainli bad food
I was so insulted.,0,insult
The last 3 times I had lunch here has been bad.,0,last time lunch bad
The chicken wings contained the driest chicken meat I have ever eaten.,0,chicken wing contain driest chicken meat ever eaten
"The food was very good and I enjoyed every mouthful, an enjoyable relaxed venue for couples small family groups etc.",1,food good enjoy everi mouth enjoy relax venu coupl small famili group etc
Nargile - I think you are great.,1,nargil think great
Best tater tots in the southwest.,1,best tater tot southwest
We loved the place.,1,love place
Definitely not worth the $3 I paid.,0,definit not worth paid
The vanilla ice cream was creamy and smooth while the profiterole (choux) pastry was fresh enough.,1,vanilla ice cream creami smooth profiterol choux pastri fresh enough
Im in AZ all the time and now have my new spot.,1,im az time new spot
The manager was the worst.,0,manag worst
The inside is really quite nice and very clean.,1,insid realli quit nice clean
The food was outstanding and the prices were very reasonable.,1,food outstand price reason
I don't think I'll be running back to Carly's anytime soon for food.,0,think run back carli anytim soon food
"This is was due to the fact that it took 20 minutes to be acknowledged, then another 35 minutes to get our food...and they kept forgetting things.",0,due fact took minut acknowledg anoth minut get food kept forget thing
"Love the margaritas, too!",1,love margarita
This was my first and only Vegas buffet and it did not disappoint.,1,first vega buffet not disappoint
"Very good, though!",1,good though
The one down note is the ventilation could use some upgrading.,0,one note ventil could use upgrad
Great pork sandwich.,1,great pork sandwich
Don't waste your time here.,0,wast time
"Total letdown, I would much rather just go to the Camelback Flower Shop and Cartel Coffee.",0,total letdown would much rather go camelback flower shop cartel coffe
"Third, the cheese on my friend's burger was cold.",0,third chees friend burger cold
We enjoy their pizza and brunch.,1,enjoy pizza brunch
The steaks are all well trimmed and also perfectly cooked.,1,steak well trim also perfectli cook
We had a group of 70+ when we claimed we would only have 40 and they handled us beautifully.,1,group claim would handl us beauti
I LOVED it!,1,love
We asked for the bill to leave without eating and they didn't bring that either.,0,ask bill leav without eat bring either
"This place is a jewel in Las Vegas, and exactly what I've been hoping to find in nearly ten years living here.",1,place jewel la vega exactli hope find nearli ten year live
Seafood was limited to boiled shrimp and crab legs but the crab legs definitely did not taste fresh.,0,seafood limit boil shrimp crab leg crab leg definit not tast fresh
The selection of food was not the best.,0,select food not best
Delicious and I will absolutely be back!,1,delici absolut back
"This isn't a small family restaurant, this is a fine dining establishment.",1,small famili restaur fine dine establish
They had a toro tartare with a cavier that was extraordinary and I liked the thinly sliced wagyu with white truffle.,1,toro tartar cavier extraordinari like thinli slice wagyu white truffl
I dont think I will be back for a very long time.,0,dont think back long time
"It was attached to a gas station, and that is rarely a good sign.",0,attach ga station rare good sign
How awesome is that.,1,awesom
I will be back many times soon.,1,back mani time soon
The menu had so much good stuff on it i could not decide!,1,menu much good stuff could not decid
"Worse of all, he humiliated his worker right in front of me..Bunch of horrible name callings.",0,wors humili worker right front bunch horribl name call
CONCLUSION: Very filling meals.,1,conclus fill meal
Their daily specials are always a hit with my group.,1,daili special alway hit group
And then tragedy struck.,0,tragedi struck
The pancake was also really good and pretty large at that.,1,pancak also realli good pretti larg
"This was my first crawfish experience, and it was delicious!",1,first crawfish experi delici
Their monster chicken fried steak and eggs is my all time favorite.,1,monster chicken fri steak egg time favorit
Waitress was sweet and funny.,1,waitress sweet funni
"I also had to taste my Mom's multi-grain pumpkin pancakes with pecan butter and they were amazing, fluffy, and delicious!",1,also tast mom multi grain pumpkin pancak pecan butter amaz fluffi delici
"I'd rather eat airline food, seriously.",0,rather eat airlin food serious
Cant say enough good things about this place.,1,cant say enough good thing place
The ambiance was incredible.,1,ambianc incred
The waitress and manager are so friendly.,1,waitress manag friendli
I would not recommend this place.,0,would not recommend place
Overall I wasn't very impressed with Noca.,0,overal impress noca
My gyro was basically lettuce only.,0,gyro basic lettuc
Terrible service!,0,terribl servic
Thoroughly disappointed!,0,thoroughli disappoint
"I don't each much pasta, but I love the homemade /hand made pastas and thin pizzas here.",1,much pasta love homemad hand made pasta thin pizza
"Give it a try, you will be happy you did.",1,give tri happi
By far the BEST cheesecurds we have ever had!,1,far best cheesecurd ever
Reasonably priced also!,1,reason price also
Everything was perfect the night we were in.,1,everyth perfect night
The food is very good for your typical bar food.,1,food good typic bar food
it was a drive to get there.,0,drive get
"At first glance it is a lovely bakery cafe - nice ambiance, clean, friendly staff.",1,first glanc love bakeri cafe nice ambianc clean friendli staff
"Anyway, I do not think i will go back there.",0,anyway not think go back
"Point your finger at any item on the menu, order it and you won't be disappointed.",1,point finger item menu order disappoint
"Oh this is such a thing of beauty, this restaurant.",1,oh thing beauti restaur
If you haven't gone here GO NOW!,1,gone go
"A greasy, unhealthy meal.",0,greasi unhealthi meal
first time there and might just be the last.,0,first time might last
Those burgers were amazing.,1,burger amaz
"Similarly, the delivery man did not say a word of apology when our food was 45 minutes late.",0,similarli deliveri man not say word apolog food minut late
And it was way to expensive.,0,way expens
"Be sure to order dessert, even if you need to pack it to-go - the tiramisu and cannoli are both to die for.",1,sure order dessert even need pack go tiramisu cannoli die
This was my first time and I can't wait until the next.,1,first time wait next
The bartender was also nice.,1,bartend also nice
Everything was good and tasty!,1,everyth good tasti
This place is two thumbs up....way up.,1,place two thumb way
"The best place in Vegas for breakfast (just check out a Sat, or Sun.",1,best place vega breakfast check sat sun
"If you love authentic Mexican food and want a whole bunch of interesting, yet delicious meats to choose from, you need to try this place.",1,love authent mexican food want whole bunch interest yet delici meat choos need tri place
Terrible management.,0,terribl manag
An excellent new restaurant by an experienced Frenchman.,1,excel new restaur experienc frenchman
If there were zero stars I would give it zero stars.,0,zero star would give zero star
"Great steak, great sides, great wine, amazing desserts.",1,great steak great side great wine amaz dessert
Worst martini ever!,0,worst martini ever
The steak and the shrimp are in my opinion the best entrees at GC.,1,steak shrimp opinion best entre gc
I had the opportunity today to sample your amazing pizzas!,1,opportun today sampl amaz pizza
We waited for thirty minutes to be seated (although there were 8 vacant tables and we were the only folks waiting).,0,wait thirti minut seat although vacant tabl folk wait
The yellowtail carpaccio was melt in your mouth fresh.,1,yellowtail carpaccio melt mouth fresh
I won't try going back there even if it's empty.,0,tri go back even empti
"No, I'm going to eat the potato that I found some strangers hair in it.",0,go eat potato found stranger hair
Just spicy enough.. Perfect actually.,1,spici enough perfect actual
Last night was my second time dining here and I was so happy I decided to go back!,1,last night second time dine happi decid go back
"""not even a """"hello, we will be right with you.""""""",0,not even hello right
The desserts were a bit strange.,0,dessert bit strang
My boyfriend and I came here for the first time on a recent trip to Vegas and could not have been more pleased with the quality of food and service.,1,boyfriend came first time recent trip vega could not pleas qualiti food servic
"I really do recommend this place, you can go wrong with this donut place!",1,realli recommend place go wrong donut place
Nice ambiance.,1,nice ambianc
I would recommend saving room for this!,1,would recommend save room
I guess maybe we went on an off night but it was disgraceful.,0,guess mayb went night disgrac
"However, my recent experience at this particular location was not so good.",0,howev recent experi particular locat not good
"I know this is not like the other restaurants at all, something is very off here!",0,know not like restaur someth
AVOID THIS ESTABLISHMENT!,0,avoid establish
I think this restaurant suffers from not trying hard enough.,0,think restaur suffer not tri hard enough
All of the tapas dishes were delicious!,1,tapa dish delici
I *heart* this place.,1,heart place
My salad had a bland vinegrette on the baby greens and hearts of Palm.,0,salad bland vinegrett babi green heart palm
After two I felt disgusting.,0,two felt disgust
A good time!,1,good time
I believe that this place is a great stop for those with a huge belly and hankering for sushi.,1,believ place great stop huge belli hanker sushi
Generous portions and great taste.,1,gener portion great tast
I will never go back to this place and will never ever recommended this place to anyone!,0,never go back place never ever recommend place anyon
"""The servers went back and forth several times, not even so much as an """"Are you being helped?""""""",0,server went back forth sever time not even much help
Food was delicious!,1,food delici
AN HOUR... seriously?,0,hour serious
I consider this theft.,0,consid theft
Eew... This location needs a complete overhaul.,0,eew locat need complet overhaul
We recently witnessed her poor quality of management towards other guests as well.,0,recent wit poor qualiti manag toward guest well
Waited and waited and waited.,0,wait wait wait
"He also came back to check on us regularly, excellent service.",1,also came back check us regularli excel servic
Our server was super nice and checked on us many times.,1,server super nice check us mani time
"The pizza tasted old, super chewy in not a good way.",0,pizza tast old super chewi not good way
I swung in to give them a try but was deeply disappointed.,0,swung give tri deepli disappoint
Service was good and the company was better!,1,servic good compani better
The staff are also very friendly and efficient.,1,staff also friendli effici
"As for the service: I'm a fan, because it's quick and you're being served by some nice folks.",1,servic fan quick serv nice folk
Boy was that sucker dry!!.,0,boy sucker dri
Over rated.,0,rate
"If you look for authentic Thai food, go else where.",0,look authent thai food go els
Their steaks are 100% recommended!,1,steak recommend
After I pulled up my car I waited for another 15 minutes before being acknowledged.,0,pull car wait anoth minut acknowledg
Great food and great service in a clean and friendly setting.,1,great food great servic clean friendli set
"All in all, I can assure you I'll be back.",1,assur back
I hate those things as much as cheap quality black olives.,0,hate thing much cheap qualiti black oliv
"My breakfast was perpared great, with a beautiful presentation of 3 giant slices of Toast, lightly dusted with powdered sugar.",1,breakfast perpar great beauti present giant slice toast lightli dust powder sugar
The kids play area is NASTY!,0,kid play area nasti
Great place fo take out or eat in.,1,great place fo take eat
The waitress was friendly and happy to accomodate for vegan/veggie options.,1,waitress friendli happi accomod vegan veggi option
OMG I felt like I had never eaten Thai food until this dish.,1,omg felt like never eaten thai food dish
"""It was extremely """"crumby"""" and pretty tasteless.""",0,extrem crumbi pretti tasteless
It was a pale color instead of nice and char and has NO flavor.,0,pale color instead nice char flavor
The croutons also taste homemade which is an extra plus.,1,crouton also tast homemad extra plu
I got home to see the driest damn wings ever!,0,got home see driest damn wing ever
It'll be a regular stop on my trips to Phoenix!,1,regular stop trip phoenix
I really enjoyed Crema Café before they expanded. I even told friends they had the BEST breakfast.,1,realli enjoy crema caf expand even told friend best breakfast
Not good for the money.,0,not good money
I miss it and wish they had one in Philadelphia!,1,miss wish one philadelphia
"We got sitting fairly fast, but, ended up waiting 40 minutes just to place our order, another 30 minutes before the food arrived.",0,got sit fairli fast end wait minut place order anoth minut food arriv
They also have the best cheese crisp in town.,1,also best chees crisp town
"Good value, great food, great service.",1,good valu great food great servic
Couldn't ask for a more satisfying meal.,1,ask satisfi meal
The food is good.,1,food good
It was awesome.,1,awesom
I just wanted to leave.,0,want leav
We made the drive all the way from North Scottsdale... and I was not one bit disappointed!,1,made drive way north scottsdal not one bit disappoint
I will not be eating there again.,0,not eat
!....THE OWNERS REALLY REALLY need to quit being soooooo cheap let them wrap my freaking sandwich in two papers not one!,0,owner realli realli need quit soooooo cheap let wrap freak sandwich two paper not one
I checked out this place a couple years ago and was not impressed.,0,check place coupl year ago not impress
"The chicken I got was definitely reheated and was only ok, the wedges were cold and soggy.",0,chicken got definit reheat ok wedg cold soggi
"Sorry, I will not be getting food from here anytime soon :(",0,sorri not get food anytim soon
An absolute must visit!,1,absolut must visit
The cow tongue and cheek tacos are amazing.,1,cow tongu cheek taco amaz
My friend did not like his Bloody Mary.,0,friend not like bloodi mari
"Despite how hard I rate businesses, its actually rare for me to give a 1 star.",0,despit hard rate busi actual rare give star
They really want to make your experience a good one.,1,realli want make experi good one
I will not return.,0,not return
I had the chicken Pho and it tasted very bland.,0,chicken pho tast bland
Very disappointing!!!,0,disappoint
The grilled chicken was so tender and yellow from the saffron seasoning.,1,grill chicken tender yellow saffron season
"a drive thru means you do not want to wait around for half an hour for your food, but somehow when we end up going here they make us wait and wait.",0,drive thru mean not want wait around half hour food somehow end go make us wait wait
Pretty awesome place.,1,pretti awesom place
Ambience is perfect.,1,ambienc perfect
Best of luck to the rude and non-customer service focused new management.,0,best luck rude non custom servic focus new manag
Any grandmother can make a roasted chicken better than this one.,0,grandmoth make roast chicken better one
I asked multiple times for the wine list and after some time of being ignored I went to the hostess and got one myself.,0,ask multipl time wine list time ignor went hostess got one
"The staff is always super friendly and helpful, which is especially cool when you bring two small boys and a baby!",1,staff alway super friendli help especi cool bring two small boy babi
Four stars for the food & the guy in the blue shirt for his great vibe & still letting us in to eat !,1,four star food guy blue shirt great vibe still let us eat
The roast beef sandwich tasted really good!,1,roast beef sandwich tast realli good
"Same evening, him and I are both drastically sick.",0,even drastic sick
High-quality chicken on the chicken Caesar salad.,1,high qualiti chicken chicken caesar salad
Ordered burger rare came in we'll done.,0,order burger rare came done
We were promptly greeted and seated.,1,promptli greet seat
Tried to go here for lunch and it was a madhouse.,0,tri go lunch madhous
"I was proven dead wrong by this sushi bar, not only because the quality is great, but the service is fast and the food, impeccable.",1,proven dead wrong sushi bar not qualiti great servic fast food impecc
"After waiting an hour and being seated, I was not in the greatest of moods.",0,wait hour seat not greatest mood
This is a good joint.,1,good joint
The Macarons here are insanely good.,1,macaron insan good
I'm not eating here!,0,not eat
"Our waiter was very attentive, friendly, and informative.",1,waiter attent friendli inform
Maybe if they weren't cold they would have been somewhat edible.,0,mayb cold would somewhat edibl
This place has a lot of promise but fails to deliver.,0,place lot promis fail deliv
Very bad Experience!,0,bad experi
What a mistake.,0,mistak
Food was average at best.,0,food averag best
Great food.,1,great food
We won't be going back anytime soon!,0,go back anytim soon
Very Very Disappointed ordered the $35 Big Bay Plater.,0,disappoint order big bay plater
Great place to relax and have an awesome burger and beer.,1,great place relax awesom burger beer
It is PERFECT for a sit-down family meal or get together with a few friends.,1,perfect sit famili meal get togeth friend
"Not much flavor to them, and very poorly constructed.",0,not much flavor poorli construct
The patio seating was very comfortable.,1,patio seat comfort
The fried rice was dry as well.,0,fri rice dri well
Hands down my favorite Italian restaurant!,1,hand favorit italian restaur
"""That just SCREAMS """"LEGIT"""" in my book...somethat's also pretty rare here in Vegas.""",1,scream legit book somethat also pretti rare vega
It was just not a fun experience.,1,not fun experi
The atmosphere was great with a lovely duo of violinists playing songs we requested.,1,atmospher great love duo violinist play song request
"I personally love the hummus, pita, baklava, falafels and Baba Ganoush (it's amazing what they do with eggplant!).",1,person love hummu pita baklava falafel baba ganoush amaz eggplant
"Very convenient, since we were staying at the MGM!",1,conveni sinc stay mgm
The owners are super friendly and the staff is courteous.,1,owner super friendli staff courteou
Both great!,1,great
Eclectic selection.,1,eclect select
The sweet potato tots were good but the onion rings were perfection or as close as I have had.,1,sweet potato tot good onion ring perfect close
The staff was very attentive.,1,staff attent
And the chef was generous with his time (even came around twice so we can take pictures with him).,1,chef gener time even came around twice take pictur
"The owner used to work at Nobu, so this place is really similar for half the price.",1,owner use work nobu place realli similar half price
Google mediocre and I imagine Smashburger will pop up.,0,googl mediocr imagin smashburg pop
dont go here.,0,dont go
I promise they won't disappoint.,1,promis disappoint
As a sushi lover avoid this place by all means.,0,sushi lover avoid place mean
What a great double cheeseburger!,1,great doubl cheeseburg
Awesome service and food.,1,awesom servic food
A fantastic neighborhood gem !!!,1,fantast neighborhood gem
I can't wait to go back.,1,wait go back
The plantains were the worst I've ever tasted.,0,plantain worst ever tast
It's a great place and I highly recommend it.,1,great place highli recommend
Service was slow and not attentive.,0,servic slow not attent
"I gave it 5 stars then, and I'm giving it 5 stars now.",1,gave star give star
Your staff spends more time talking to themselves than me.,0,staff spend time talk
Dessert: Panna Cotta was amazing.,1,dessert panna cotta amaz
"Very good food, great atmosphere.1",1,good food great atmospher
Damn good steak.,1,damn good steak
Total brunch fail.,0,total brunch fail
"Prices are very reasonable, flavors are spot on, the sauce is home made, and the slaw is not drenched in mayo.",1,price reason flavor spot sauc home made slaw not drench mayo
"The decor is nice, and the piano music soundtrack is pleasant.",1,decor nice piano music soundtrack pleasant
The steak was amazing...rge fillet relleno was the best seafood plate i have ever had!,1,steak amaz rge fillet relleno best seafood plate ever
"Good food , good service .",1,good food good servic
It was absolutely amazing.,1,absolut amaz
"I probably won't be back, to be honest.",0,probabl back honest
will definitely be back!,1,definit back
The sergeant pepper beef sandwich with auju sauce is an excellent sandwich as well.,1,sergeant pepper beef sandwich auju sauc excel sandwich well
"Hawaiian Breeze, Mango Magic, and Pineapple Delight are the smoothies that I've tried so far and they're all good.",1,hawaiian breez mango magic pineappl delight smoothi tri far good
Went for lunch - service was slow.,0,went lunch servic slow
"We had so much to say about the place before we walked in that he expected it to be amazing, but was quickly disappointed.",0,much say place walk expect amaz quickli disappoint
I was mortified.,0,mortifi
"Needless to say, we will never be back here again.",0,needless say never back
"Anyways, The food was definitely not filling at all, and for the price you pay you should expect more.",0,anyway food definit not fill price pay expect
"The chips that came out were dripping with grease, and mostly not edible.",0,chip came drip greas mostli not edibl
I wasn't really impressed with Strip Steak.,0,realli impress strip steak
Have been going since 2007 and every meal has been awesome!!,1,go sinc everi meal awesom
Our server was very nice and attentive as were the other serving staff.,1,server nice attent serv staff
The cashier was friendly and even brought the food out to me.,1,cashier friendli even brought food
I work in the hospitality industry in Paradise Valley and have refrained from recommending Cibo any longer.,0,work hospit industri paradis valley refrain recommend cibo longer
The atmosphere here is fun.,1,atmospher fun
Would not recommend to others.,0,would not recommend other
"""Service is quick and even """"to go"""" orders are just like we like it!""",1,servic quick even go order like like
"I mean really, how do you get so famous for your fish and chips when it's so terrible!?!",0,mean realli get famou fish chip terribl
"That said, our mouths and bellies were still quite pleased.",1,said mouth belli still quit pleas
Not my thing.,0,not thing
2 Thumbs Up!!,1,thumb
If you are reading this please don't go there.,0,read pleas go
"I loved the grilled pizza, reminded me of legit Italian pizza.",1,love grill pizza remind legit italian pizza
Only Pros : Large seating area/ Nice bar area/ Great simple drink menu/ The BEST brick oven pizza with homemade dough!,1,pro larg seat area nice bar area great simpl drink menu best brick oven pizza homemad dough
They have a really nice atmosphere.,1,realli nice atmospher
Tonight I had the Elk Filet special...and it sucked.,0,tonight elk filet special suck
"After one bite, I was hooked.",1,one bite hook
We ordered some old classics and some new dishes after going there a few times and were sorely disappointed with everything.,0,order old classic new dish go time sore disappoint everyth
"Cute, quaint, simple, honest.",1,cute quaint simpl honest
The chicken was deliciously seasoned and had the perfect fry on the outside and moist chicken on the inside.,1,chicken delici season perfect fri outsid moist chicken insid
"The food was great as always, compliments to the chef.",1,food great alway compliment chef
Special thanks to Dylan T. for the recommendation on what to order :) All yummy for my tummy.,1,special thank dylan recommend order yummi tummi
Awesome selection of beer.,1,awesom select beer
Great food and awesome service!,1,great food awesom servic
"One nice thing was that they added gratuity on the bill since our party was larger than 6 or 8, and they didn't expect more tip than that.",1,one nice thing ad gratuiti bill sinc parti larger expect tip
A FLY was in my apple juice.. A FLY!!!!!!!!,0,fli appl juic fli
The Han Nan Chicken was also very tasty.,1,han nan chicken also tasti
"As for the service, I thought it was good.",1,servic thought good
"The food was barely lukewarm, so it must have been sitting waiting for the server to bring it out to us.",0,food bare lukewarm must sit wait server bring us
Ryan's Bar is definitely one Edinburgh establishment I won't be revisiting.,0,ryan bar definit one edinburgh establish revisit
Nicest Chinese restaurant I've been in a while.,1,nicest chines restaur
"Overall, I like there food and the service.",1,overal like food servic
They also now serve Indian naan bread with hummus and some spicy pine nut sauce that was out of this world.,1,also serv indian naan bread hummu spici pine nut sauc world
"Probably never coming back, and wouldn't recommend it.",0,probabl never come back recommend
"Friend's pasta -- also bad, he barely touched it.",0,friend pasta also bad bare touch
"Try them in the airport to experience some tasty food and speedy, friendly service.",1,tri airport experi tasti food speedi friendli servic
I love the decor with the Chinese calligraphy wall paper.,1,love decor chines calligraphi wall paper
Never had anything to complain about here.,1,never anyth complain
The restaurant is very clean and has a family restaurant feel to it.,1,restaur clean famili restaur feel
It was way over fried.,0,way fri
I'm not sure how long we stood there but it was long enough for me to begin to feel awkwardly out of place.,0,not sure long stood long enough begin feel awkwardli place
"When I opened the sandwich, I was impressed, but not in a good way.",0,open sandwich impress not good way
Will not be back!,0,not back
There was a warm feeling with the service and I felt like their guest for a special treat.,1,warm feel servic felt like guest special treat
An extensive menu provides lots of options for breakfast.,1,extens menu provid lot option breakfast
"I always order from the vegetarian menu during dinner, which has a wide array of options to choose from.",1,alway order vegetarian menu dinner wide array option choos
"I have watched their prices inflate, portions get smaller and management attitudes grow rapidly!",0,watch price inflat portion get smaller manag attitud grow rapidli
Wonderful lil tapas and the ambience made me feel all warm and fuzzy inside.,1,wonder lil tapa ambienc made feel warm fuzzi insid
"I got to enjoy the seafood salad, with a fabulous vinegrette.",1,got enjoy seafood salad fabul vinegrett
"The wontons were thin, not thick and chewy, almost melt in your mouth.",1,wonton thin not thick chewi almost melt mouth
"Level 5 spicy was perfect, where spice didn't over-whelm the soup.",1,level spici perfect spice whelm soup
We were sat right on time and our server from the get go was FANTASTIC!,1,sat right time server get go fantast
"Main thing I didn't enjoy is that the crowd is of older crowd, around mid 30s and up.",0,main thing enjoy crowd older crowd around mid
"When I'm on this side of town, this will definitely be a spot I'll hit up again!",1,side town definit spot hit
I had to wait over 30 minutes to get my drink and longer to get 2 arepas.,0,wait minut get drink longer get arepa
This is a GREAT place to eat!,1,great place eat
The jalapeno bacon is soooo good.,1,jalapeno bacon soooo good
The service was poor and thats being nice.,0,servic poor that nice
"Food was good, service was good, Prices were good.",1,food good servic good price good
The place was not clean and the food oh so stale!,0,place not clean food oh stale
"The chicken dishes are OK, the beef is like shoe leather.",0,chicken dish ok beef like shoe leather
But the service was beyond bad.,0,servic beyond bad
"""I'm so happy to be here!!!""""""",1,happi
Tasted like dirt.,0,tast like dirt
One of the few places in Phoenix that I would definately go back to again .,1,one place phoenix would defin go back
The block was amazing.,1,block amaz
"It's close to my house, it's low-key, non-fancy, affordable prices, good food.",1,close hous low key non fanci afford price good food
* Both the Hot & Sour & the Egg Flower Soups were absolutely 5 Stars!,1,hot sour egg flower soup absolut star
My sashimi was poor quality being soggy and tasteless.,0,sashimi poor qualiti soggi tasteless
Great time - family dinner on a Sunday night.,1,great time famili dinner sunday night
"""the food is not tasty at all, not to say its """"real traditional Hunan style"""".""",0,food not tasti not say real tradit hunan style
"What did bother me, was the slow service.",0,bother slow servic
The flair bartenders are absolutely amazing!,1,flair bartend absolut amaz
Their frozen margaritas are WAY too sugary for my taste.,0,frozen margarita way sugari tast
These were so good we ordered them twice.,1,good order twice
So in a nutshell: 1) The restaraunt smells like a combination of a dirty fish market and a sewer.,0,nutshel restaraunt smell like combin dirti fish market sewer
My girlfriend's veal was very bad.,0,girlfriend veal bad
"Unfortunately, it was not good.",0,unfortun not good
I had a pretty satifying experience.,1,pretti satifi experi
Join the club and get awesome offers via email.,1,join club get awesom offer via email
"Perfect for someone (me) who only likes beer ice cold, or in this case, even colder.",1,perfect someon like beer ice cold case even colder
Bland and flavorless is a good way of describing the barely tepid meat.,0,bland flavorless good way describ bare tepid meat
"The chains, which I'm no fan of, beat this place easily.",0,chain fan beat place easili
The nachos are a MUST HAVE!,1,nacho must
We will not be coming back.,0,not come back
"I don't have very many words to say about this place, but it does everything pretty well.",1,mani word say place everyth pretti well
"The staff is super nice and very quick even with the crazy crowds of the downtown juries, lawyers, and court staff.",1,staff super nice quick even crazi crowd downtown juri lawyer court staff
"Great atmosphere, friendly and fast service.",1,great atmospher friendli fast servic
When I received my Pita it was huge it did have a lot of meat in it so thumbs up there.,1,receiv pita huge lot meat thumb
Once your food arrives it's meh.,0,food arriv meh
Paying $7.85 for a hot dog and fries that looks like it came out of a kid's meal at the Wienerschnitzel is not my idea of a good meal.,0,pay hot dog fri look like came kid meal wienerschnitzel not idea good meal
The classic Maine Lobster Roll was fantastic.,1,classic main lobster roll fantast
"My brother in law who works at the mall ate here same day, and guess what he was sick all night too.",0,brother law work mall ate day guess sick night
So good I am going to have to review this place twice - once hereas a tribute to the place and once as a tribute to an event held here last night.,1,good go review place twice herea tribut place tribut event held last night
"The chips and salsa were really good, the salsa was very fresh.",1,chip salsa realli good salsa fresh
This place is great!!!!!!!!!!!!!!,1,place great
Mediocre food.,0,mediocr food
Once you get inside you'll be impressed with the place.,1,get insid impress place
I'm super pissd.,0,super pissd
And service was super friendly.,1,servic super friendli
Why are these sad little vegetables so overcooked?,0,sad littl veget overcook
This place was such a nice surprise!,1,place nice surpris
They were golden-crispy and delicious.,1,golden crispi delici
